[1.20661375 0.94446659]
[1.20661387 0.94446644]
[1.20661439 0.94446676]
[1.20661513 0.94446743]
[1.20661615 0.94446852]
[1.20661739 0.94446997]
[1.20661921 0.94447174]
[1.2066212  0.94447361]
[1.20662335 0.94447565]
[1.20662545 0.94447771]
[1.20662761 0.94447989]
[1.20662969 0.94448229]
[1.20663179 0.94448468]
[1.20663376 0.94448701]
[1.20663561 0.94448903]
[1.20663735 0.94449093]
[1.20663892 0.94449268]
[1.20649154 0.94444972]
[1.2063589  0.94441091]
[1.20623954 0.94437587]
[1.20613176 0.94434432]
[1.20603497 0.94431569]
[1.20594731 0.94428986]
[1.20586863 0.94426583]
[1.2057969  0.94424224]
[1.20573266 0.94422038]
[1.20567395 0.9442007 ]
[1.20562153 0.94418418]
[1.20557347 0.944169  ]
[1.20553058 0.94415433]
[1.20549098 0.94413862]
[1.20545545 0.94412441]
[1.20542342 0.94411156]
[1.20539457 0.9441    ]
[1.20536868 0.94408956]
[1.20534528 0.94408017]
[1.20532441 0.94407167]
[1.20530565 0.94406406]
[1.2052889  0.94405713]
[1.20527373 0.94405085]
[1.20526001 0.94404508]
[1.20524767 0.94403982]
[1.20523655 0.94403492]
[1.2052263  0.94403056]
[1.20521718 0.94402629]
[1.20520846 0.94402252]
[1.20520084 0.94401822]
[1.20519302 0.9440125 ]
[1.20518625 0.94400656]
[1.20517941 0.94400137]
[1.20517377 0.9439978 ]
[1.20516766 0.94399427]
[1.20516248 0.94399157]
[1.20515666 0.94398851]
[1.20515172 0.94398631]
[1.20514606 0.94398702]
[1.20514165 0.94399068]
[1.20513615 0.94400082]
[1.20513131 0.94400992]
[1.205127 0.944018]
[1.2051238  0.94402555]
[1.2051213  0.94403245]
[1.20511969 0.94403898]
[1.20511864 0.94404497]
[1.20511811 0.94405043]
[1.20511818 0.94405544]
[1.20511893 0.94405966]
[1.20511951 0.94406351]
[1.20512072 0.94406719]
[1.2051221  0.94407055]
[1.20512399 0.94407372]
[1.20512619 0.94407671]
[1.2051281  0.94407936]
[1.2050341  0.94406912]
[1.20494963 0.94405981]
[1.20487347 0.94405132]
[1.20480467 0.94404369]
[1.20474287 0.94403649]
[1.2046868  0.94403007]
[1.20463658 0.94402348]
[1.20459039 0.94401558]
[1.20454904 0.94400775]
[1.20451105 0.94400083]
[1.20447737 0.94399561]
[1.20444602 0.94399067]
[1.20441818 0.94398671]
[1.20439195 0.94398248]
[1.20436867 0.94397925]
[1.20434658 0.94397902]
[1.20432734 0.94398182]
[1.20430857 0.94399129]
[1.2042917  0.94399962]
[1.20427664 0.9440071 ]
[1.20426311 0.94401369]
[1.20425113 0.94401979]
[1.20424071 0.94402546]
[1.20423159 0.94403097]
[1.20422382 0.94403623]
[1.20421718 0.94404102]
[1.20421158 0.94404552]
[1.20420662 0.94404994]
[1.20420287 0.94405433]
[1.20420007 0.94405871]
[1.20419838 0.94406302]
[1.20419717 0.94406718]
[1.2038898  0.94400373]
[1.20361312 0.94394641]
[1.20336404 0.94389467]
[1.20313957 0.94384817]
[1.20293778 0.94380599]
[1.20275561 0.94376808]
[1.20259191 0.94373301]
[1.20244374 0.94369965]
[1.20231052 0.94366869]
[1.20218975 0.94364094]
[1.20208093 0.9436167 ]
[1.20198303 0.94359487]
[1.20189485 0.9435754 ]
[1.2018156  0.94355779]
[1.2017441 0.9435415]
[1.2016799  0.94352666]
[1.20162185 0.94351253]
[1.20156957 0.9434998 ]
[1.20152267 0.9434882 ]
[1.20148092 0.94347817]
[1.20144348 0.94346955]
[1.20141027 0.94346234]
[1.20138058 0.94345635]
[1.20135452 0.94345138]
[1.2013318  0.94344713]
[1.20131214 0.94344356]
[1.20129503 0.94344044]
[1.20128022 0.9434374 ]
[1.20126709 0.94343477]
[1.20125524 0.943432  ]
[1.2012446  0.94342954]
[1.20123498 0.94342745]
[1.20122667 0.94342565]
[1.20121958 0.94342384]
