[8.00869533 3.11451823]
[2.56358853 3.40872084]
[10.61361621  3.44399129]
[18.82111884  3.67980476]
[26.32334864  3.61796738]
[32.80895606  3.46379302]
[38.34594907  3.15201602]
[43.18385092  2.8194755 ]
[47.69516112  2.58042757]
[51.94583844  2.35677821]
[56.12289237  2.14118116]
[59.97293146  1.96861891]
[63.4959647   1.81789399]
[66.70592668  1.67930738]
[69.88090984  1.60146006]
[72.83787233  1.53508452]
[75.54359425  1.46165639]
[77.92524831  1.40503771]
[80.15659967  1.30834422]
[82.23809227  1.25066299]
[83.93253977  1.16818051]
[85.23960266  1.09074687]
[86.51933273  1.07364308]
[87.63901113  1.05999132]
[88.68598007  0.99179398]
[89.62250117  0.96198208]
[90.44880011  0.8888938 ]
[91.21835699  0.81927801]
[91.91122193  0.72589738]
[92.61626002  0.69326627]
[93.22384852  0.67195895]
[93.72909555  0.66357102]
[93.94307463  0.62856703]
[94.32366813  0.6825067 ]
[94.77653022  0.62487302]
[95.18032564  0.56878357]
[93.28007189  0.65246857]
[91.71178318  0.84484478]
[90.26469034  1.12721883]
[88.74644033  1.32458921]
[86.99825926  1.44216966]
[85.36678455  1.54990661]
[84.09942427  1.78815168]
[83.07847872  2.12333429]
[82.1293258   2.40133267]
[81.48101911  2.69666381]
[81.05942431  3.14472725]
[80.65585902  3.73418875]
[80.18341079  4.29109147]
[80.28098064  4.93181679]
[80.61294073  5.64598955]
[81.04813441  6.43473286]
[81.11850218  7.1118113 ]
[81.36142556  7.86623471]
[81.72459834  8.63308243]
[82.27530461  9.48118499]
[82.82450009 10.26538546]
[83.39401751 11.0355089 ]
[83.96664752 11.79693898]
[84.56708394 12.18408044]
[84.83435751 12.37063388]
[85.11271648 12.61585602]
[85.41524633 12.89438039]
[85.60064946 13.30395678]
[85.85295347 13.71656608]
[86.11858782 14.09810531]
[86.35982895 14.43221292]
[86.7126604  14.78395544]
[87.12392565 15.13274093]
[87.26295491 15.22024521]
[87.31242397 15.22498399]
[87.56953188 15.43156368]
[87.56232478 15.41852413]
[87.40348688 15.6115813 ]
[87.23354858 15.50162876]
[86.90642052 15.23092228]
[86.52971837 14.90047417]
[80.27484654 13.64581283]
[73.71377514 12.85211535]
[66.82548324 12.42838555]
[60.82226309 11.96717571]
[55.40577366 11.57087429]
[50.3170181  11.56148936]
[45.63595733 11.79651523]
[41.58022931 11.67398323]
[37.94571848 11.27689236]
[34.48415234 11.16140941]
[31.26327982 11.24681916]
[28.29700426 11.09696285]
[25.57962121 10.77183319]
[22.90910341 10.63404072]
[20.65506589 10.66430772]
[18.6959941  10.55896595]
[16.97751591 10.38663352]
[15.56529495 10.45360375]
[14.33264547 10.66006158]
[13.41475457 10.73389011]
[12.70224638 10.76586821]
[12.21127896 10.92993768]
[11.87350716 11.19044648]
[11.7769108  11.61064068]
[11.75921747 12.05066825]
[ 5.75584712 10.85117371]
